name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'P0227_0369';0.000000;2.160147e-02;-7.914356e+00;1.296309e+01;9.828112e-02;1.448118e-03;2.787818e-03;1.254333e+01;1.726765e+00;-5.706625e+00;-1.271112e+01;0;0;0;0;0;0;5.033072e+02;1.473929e+03;-201;1.481160e+03;-201;2.390024e+03;-201
'P0227_0369';0.010000;4.200393e-02;-1.036037e+01;1.536901e+01;9.868632e-02;-2.436437e-03;7.159112e-03;2.291933e+01;-2.026854e+00;1.044738e+00;-1.420818e+01;0;0;0;0;0;0;5.255036e+02;1.488213e+03;-1.333316e+02;1.435474e+03;-1.359147e+02;2.389283e+03;-1.387157e+02
'P0227_0369';0.020000;6.380618e-02;-1.332993e+01;1.806583e+01;9.479370e-02;-9.234955e-03;1.040669e-02;3.342813e+01;-5.733984e+00;9.661429e+00;-1.751206e+01;2.649831e+01;0;0;5.313705e+00;9.029277e+00;2.505644e+01;5.433155e+02;1.520946e+03;-6.498279e+01;1.342710e+03;-7.004713e+01;2.331927e+03;-7.566756e+01
'P0227_0369';0.030000;7.520435e-02;-1.382337e+01;1.926280e+01;9.040209e-02;-1.219890e-02;9.724236e-03;3.887700e+01;-1.052607e+01;1.542933e+01;-2.163319e+01;2.649831e+01;0;1.525525e+00;5.313705e+00;9.029277e+00;2.505644e+01;4.078586e+02;1.317269e+03;-6.498279e+01;1.229262e+03;-7.004713e+01;2.196991e+03;-7.566756e+01
'P0227_0369';0.040000;7.824928e-02;-1.419863e+01;2.185804e+01;8.586633e-02;-1.102080e-02;7.625474e-03;3.957486e+01;-1.217894e+01;1.322221e+01;-2.340760e+01;0;0;0;0;0;0;4.159475e+02;1.280679e+03;-6.386690e+01;1.249550e+03;-6.923866e+01;2.215818e+03;-7.596946e+01
'P0227_0369';0.050000;7.839125e-02;-1.317848e+01;2.372689e+01;9.332883e-02;-4.419395e-03;8.355024e-03;4.042838e+01;-1.437036e+01;7.190372e+00;-2.270009e+01;2.647874e+01;0;0;6.110225e+00;1.450418e+01;3.328898e+01;5.257901e+02;1.293058e+03;-6.284115e+01;1.382400e+03;-7.057758e+01;2.346566e+03;-7.825679e+01
'P0227_0369';0.060000;7.558840e-02;-1.329683e+01;2.491164e+01;9.209145e-02;-4.492775e-03;8.370835e-03;3.985964e+01;-1.209742e+01;3.627086e+00;-2.160123e+01;2.659028e+01;0;1.528939e+00;5.940819e+00;1.542069e+01;3.317226e+01;5.347372e+02;1.353640e+03;3.586415e+00;1.419656e+03;-8.347423e+00;2.459639e+03;-1.738072e+01
'P0227_0369';0.070000;7.246310e-02;-1.498874e+01;2.615552e+01;9.406463e-02;-9.266404e-03;1.003468e-02;4.090570e+01;-8.116979e+00;5.279488e+00;-1.799838e+01;2.684050e+01;0;1.649796e+00;5.645018e+00;1.753597e+01;3.349698e+01;5.187415e+02;1.443773e+03;-7.124618e-01;1.366849e+03;-1.383681e+01;2.421381e+03;-1.897777e+01
'P0227_0369';0.080000;6.823703e-02;-1.882355e+01;2.950481e+01;7.719102e-02;-8.778705e-03;1.076030e-02;4.209403e+01;-1.703820e+00;1.007098e+01;-9.720253e+00;2.730054e+01;1.477444e-02;1.445200e+00;4.981497e+00;1.691743e+01;3.161977e+01;3.941259e+02;1.477725e+03;-5.067015e+00;1.262370e+03;-1.795096e+01;2.326256e+03;-2.009248e+01
'P0227_0369';0.090000;6.408673e-02;-2.264969e+01;3.120747e+01;6.861483e-02;-4.441333e-03;1.352081e-02;4.329390e+01;3.192239e+00;1.798792e+01;1.530189e+00;2.754412e+01;1.477444e-02;1.403331e+00;4.671241e+00;1.674929e+01;3.096025e+01;3.677394e+02;1.621366e+03;-7.149458e+01;1.256649e+03;-8.018112e+01;2.275324e+03;-8.096855e+01
