name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'P0349_0002';0.000000;4.273853e-01;-9.139863e+00;2.682266e+01;3.419325e-02;-1.907509e-02;3.391141e-02;2.690286e+01;-6.915294e-02;-2.647864e+01;-7.573324e+00;4.474087e+01;4.544743e-02;2.717418e-01;5.803852e+00;8.053145e+00;1.544050e+01;5.490671e+02;1.580928e+03;0;1.399337e+03;-9.145798e+00;2.118078e+03;-1.297321e+01
'P0349_0002';0.010000;4.233595e-01;-8.274444e+00;2.867925e+01;4.184888e-02;-1.177024e-02;9.913894e-02;2.495409e+01;-1.887636e+00;-2.863911e+01;-8.322295e+00;4.519572e+01;4.544743e-02;2.717418e-01;6.878850e+00;9.045459e+00;2.590905e+01;7.449609e+02;1.569563e+03;1.135804e+00;1.653182e+03;-1.154001e+01;2.439583e+03;-2.169800e+01
'P0349_0002';0.020000;3.929131e-01;-8.409389e+00;3.092063e+01;5.167808e-02;-7.325454e-03;1.410032e-01;2.382307e+01;-2.930202e+00;-3.247358e+01;-1.211594e+01;4.563610e+01;4.489797e-02;5.599622e-01;7.152943e+00;9.427377e+00;2.674304e+01;8.561690e+02;1.720392e+03;1.915076e+00;1.758808e+03;-1.681564e+01;2.517993e+03;-2.159186e+01
'P0349_0002';0.030000;3.551171e-01;-9.532218e+00;3.190086e+01;6.844088e-02;-1.290177e-02;1.363814e-01;2.455192e+01;-2.607936e+00;-3.208544e+01;-1.334022e+01;4.564045e+01;4.462325e-02;7.040724e-01;6.881850e+00;8.792739e+00;2.852373e+01;8.799471e+02;1.825069e+03;-6.711673e+01;1.602948e+03;-7.872196e+01;2.451607e+03;-8.289645e+01
'P0349_0002';0.040000;2.934219e-01;-9.789900e+00;2.886157e+01;6.412789e-02;-1.361483e-02;9.974086e-02;2.451552e+01;5.524859e-01;-2.783024e+01;-1.186874e+01;0;0;0;0;0;0;8.428242e+02;1.791365e+03;-1.328421e+02;1.554600e+03;-1.413017e+02;2.238384e+03;-1.375328e+02
'P0349_0002';0.050000;2.441834e-01;-7.571070e+00;2.515508e+01;5.688776e-02;-1.165434e-02;7.836449e-02;2.093522e+01;8.287272e-01;-2.197105e+01;-6.007421e+00;0;0;0;0;0;0;8.791064e+02;1.536268e+03;-201;1.632629e+03;-201;2.349882e+03;-201
'P0349_0002';0.060000;2.032892e-01;-7.146966e+00;2.119166e+01;5.381766e-02;-9.659599e-03;6.145861e-02;1.922062e+01;8.461453e-01;-1.611356e+01;-5.076462e+00;0;0;0;0;0;0;8.412112e+02;1.291806e+03;-201;1.743786e+03;-201;2.504314e+03;-201
'P0349_0002';0.070000;1.787741e-01;-8.546012e+00;2.173137e+01;4.020796e-02;-1.363251e-02;4.742472e-02;1.998070e+01;2.883966e+00;-9.683686e+00;-1.012548e+00;0;0;0;0;0;0;8.014474e+02;1.259030e+03;-1.351917e+02;1.713209e+03;-1.381864e+02;2.581314e+03;-1.402552e+02
'P0349_0002';0.080000;1.665153e-01;-1.159571e+01;2.100900e+01;3.449791e-02;-1.632257e-02;3.564763e-02;2.363482e+01;6.812669e+00;-2.821293e+00;1.203165e+00;2.707948e+01;0;7.113843e-01;3.631277e+00;1.114771e+01;2.058610e+01;6.704787e+02;1.345303e+03;-6.910625e+01;1.607036e+03;-7.427096e+01;2.375060e+03;-7.633977e+01
'P0349_0002';0.090000;1.637204e-01;-1.293376e+01;2.214477e+01;2.156732e-02;-1.316923e-02;3.782250e-02;2.548812e+01;8.497465e+00;2.011874e+00;5.261940e+00;2.707092e+01;0;7.113843e-01;3.827665e+00;1.303286e+01;2.297271e+01;6.547814e+02;1.409966e+03;-3.239827e+00;1.583002e+03;-9.727795e+00;2.365478e+03;-1.530056e+01
