name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'P0307_0477';0.000000;1.571739e-02;-5.127797e-01;2.537053e+01;3.761123e-02;3.262731e-02;3.130987e-04;1.763097e+01;2.249367e+00;-2.547624e+01;-5.531562e+00;0;0;0;0;0;0;8.240317e+02;1.178305e+03;-201;1.616249e+03;-201;2.664108e+03;-201
'P0307_0477';0.010000;1.527541e-02;-1.784742e+00;2.468256e+01;3.090564e-02;3.663995e-02;6.227324e-04;1.620207e+01;2.362536e+00;-2.340589e+01;-3.474770e+00;0;0;0;0;0;0;8.273293e+02;1.185188e+03;-201;1.614583e+03;-201;2.680172e+03;-201
'P0307_0477';0.020000;1.524115e-02;-2.809696e+00;2.367439e+01;2.871956e-02;3.958346e-02;9.252079e-04;1.556570e+01;2.336588e+00;-2.151144e+01;-1.720336e+00;0;0;0;0;0;0;8.317726e+02;1.196724e+03;-201;1.626026e+03;-201;2.687290e+03;-201
'P0307_0477';0.030000;1.543519e-02;-3.077308e+00;2.485309e+01;4.293386e-02;4.003529e-02;9.131073e-04;1.757266e+01;2.068255e+00;-2.124776e+01;-1.475380e+00;0;0;0;0;0;0;8.389453e+02;1.234677e+03;-201;1.626985e+03;-201;2.735631e+03;-201
'P0307_0477';0.040000;1.545798e-02;-2.689810e+00;2.468611e+01;4.643730e-02;3.814857e-02;8.185751e-04;1.834434e+01;2.496071e+00;-2.038663e+01;-9.600498e-01;0;0;0;0;0;0;8.429670e+02;1.243589e+03;-201;1.641506e+03;-201;2.714305e+03;-201
'P0307_0477';0.050000;1.485793e-02;-1.658893e+00;2.397421e+01;4.368250e-02;3.850639e-02;7.781722e-04;1.852365e+01;2.625449e+00;-1.961229e+01;-1.431828e-01;0;0;0;0;0;0;8.397124e+02;1.316545e+03;-201;1.629807e+03;-201;2.650145e+03;-201
'P0307_0477';0.060000;1.439384e-02;-2.016291e+00;2.374979e+01;3.990253e-02;4.252389e-02;7.209538e-04;1.779986e+01;2.786424e+00;-1.734788e+01;2.716658e+00;0;0;0;0;0;0;8.496363e+02;1.261959e+03;-201;1.631443e+03;-201;2.587229e+03;-201
'P0307_0477';0.070000;1.393164e-02;-8.021432e-01;2.256112e+01;3.158459e-02;4.252513e-02;7.629411e-04;1.708647e+01;2.145588e+00;-1.764238e+01;3.168106e+00;0;0;0;0;0;0;8.436843e+02;1.313113e+03;-201;1.627290e+03;-201;2.570344e+03;-201
'P0307_0477';0.080000;1.245093e-02;-1.193031e+00;2.070597e+01;3.276305e-02;3.909132e-02;7.331777e-04;1.353454e+01;2.420440e+00;-1.413606e+01;8.432916e-01;0;0;0;0;0;0;8.721157e+02;1.276131e+03;-201;1.711675e+03;-201;2.667652e+03;-201
'P0307_0477';0.090000;1.090992e-02;-1.334288e+00;1.881932e+01;4.733808e-02;3.456846e-02;5.804733e-04;1.164011e+01;3.627504e+00;-1.260788e+01;2.884901e-01;0;0;0;0;0;0;8.865701e+02;1.225730e+03;-201;1.777457e+03;-201;2.674993e+03;-201
